recipe_id,section_key,section_label,prep_method,cook_method,yield_factor_water,yield_factor_fat,yield_factor_protein,yield_factor_carbohydrate,yield_factor_other,yield_factor_fiber,filling_class,cook_stages,boil_stages,source_recipe
SAND_045,oyster,Fried oysters,fried,fried,,1.00,,,1.00,,fried_chicken,,4,
SAND_045,assembly,Assembly,,raw,1.00,1.00,,,1.00,,,,,
SAND_046,meatballs,Meatballs,pan grilled,broil,,1.00,,,1.00,,fried_meat,500:3,5,
SAND_046,marinara,Marinara sauce,simmer,broil,,1.00,,,1.00,,simmer_sauce,500:3,3,
SAND_046,assembly,Assembly,,broil,,1.00,,,1.00,,pan_grilled_chicken,500:3,3,
SAND_047,assembly,Assembly,,raw,1.00,1.00,,,1.00,,,,,
SAND_048,chicken,Breaded chicken,fried,broil,,,,,1.00,,fried_chicken,500:3,8,
SAND_048,assembly,Assembly,,broil,,,,,1.00,,,500:3,,
SAND_049,vegetables,Onion and bell pepper,pan grilled,braise,,,,,1.0,,pan_grilled_chicken,185:2,8,
SAND_049,beef,Beef,pan grilled,braise,,,,,1.0,,pan_grilled_chicken,185:2,3,
SAND_049,assembly,Provolone cheese,,braise,,,,,1.0,,,185:2,,
SAND_049,roll,Hoagie roll,finish,raw,1.0,1.0,,,1.0,,,,,
SAND_050,pork,Pork,pan grilled,pan grilled,,,,,1.00,,pan_grilled_chicken,,8,
SAND_050,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_051,assembly,Assembly,,raw,,,,,1.00,,,,,
BKFST_011,eggs,Eggs,pan grilled,pan grilled,,1.00,,,1.00,,fried_meat,,2,
BKFST_011,assembly,Assembly,,raw,,1.00,,,1.00,,,,,
BKFST_036,eggs,Eggs,pan grilled,pan grilled,,1.00,,,1.00,,fried_meat,,2,
BKFST_036,assembly,Assembly,,raw,,1.00,,,1.00,,,,,
BKFST_037,sausage,Sausage,pan grilled,raw,,1.00,,,1.00,,,,3,BKFST_015
BKFST_037,eggs,Eggs,pan grilled,pan grilled,,1.00,,,1.00,,fried_meat,,3,
BKFST_037,assembly,Assembly,,raw,,1.00,,,1.00,,,,,
BKFST_038,ham,Ham,pan grilled,pan grilled,,1.00,,,1.00,,fried_meat,,2,
BKFST_038,eggs,Eggs,pan grilled,pan grilled,,1.00,,,1.00,,fried_meat,,2,
BKFST_038,assembly,Assembly,,raw,,1.00,,,1.00,,,,,
BKFST_039,assembly,Assembly,,raw,,1.00,,,1.00,,,,,
SAND_052,falafel,Falafel,fried,fried,,,,,1.00,,fried_chicken,,7,
SAND_052,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_053,lamb,Lamb,fried,fried,,,,,1.00,,fried_meat,,6,
SAND_053,tzatziki,Tzatziki,,raw,,,,,1.00,,,,,
SAND_053,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_054,coleslaw,Coleslaw,,pan grilled,,,,,1.00,,,,7,
SAND_054,assembly,Assembly,,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_055,patty,Patty,pan grilled,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_055,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_056,patty,Patty,pan grilled,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_056,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_057,patty,Patty,pan grilled,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_057,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_058,patty,Patties,pan grilled,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_058,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_059,onion,Caramelized onion,pan grilled,pan grilled,,,,,1.0,,simmer_sauce,,45,
SAND_059,patty,Patty,pan grilled,pan grilled,,,,,1.0,,fried_meat,,8,
SAND_059,mushrooms,Mushrooms,pan grilled,pan grilled,,,,,1.0,,pan_grilled_chicken,,2,
SAND_059,assembly,Assembly,,raw,,,,,1.0,,,,,
SAND_060,patty,Patty,pan grilled,pan grilled,,,,,1.00,,fried_meat,,7,
SAND_060,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_061,patty,Patty,pan grilled,pan grilled,,,,,1.0,,pan_grilled_chicken,,11,
SAND_061,assembly,Assembly,,raw,,,,,1.0,,,,,
SAND_062,patty,Patty,pan grilled,pan grilled,,,,,1.00,,fried_meat,,9,
SAND_062,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_063,frank,Grilled frank,pan grilled,pan grilled,,,,,1.00,,fried_meat,,9,
SAND_063,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_064,frank,Frank,pan grilled,pan grilled,,,,,1.00,,fried_meat,,9,
SAND_064,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_065,frank,Frank,pan grilled,pan grilled,,,,,1.00,,fried_meat,,9,
SAND_065,assembly,Assembly,,raw,,,,,1.00,,,,,
SAND_066,corn_dog,Corn Dog,fried,fried,,,,,1.00,,fried_chicken,,3,
SAUCE_001,onion,Onion and clove infusion,sub-simmer,simmer,,,,,,,simmer_sauce,,3,
SAUCE_001,roux,Roux,pan grilled,simmer,,,,,,,pan_grilled_batter,,1,
SAUCE_001,sauce,Sauce,simmer,simmer,,,,,,,simmer_sauce,,1,
SAUCE_001,finish,Finish,finish,raw,,,,,,,,,,
SAUCE_002,bechamel,Béchamel sauce,sub-simmer,raw,,,,,,,,,1,SAUCE_001
SAUCE_002,cheese,Cheese for Mornay Sauce,,sub-simmer,,,,,,,,,,
SAUCE_003,onion,Sweated onion purée,braise,sub-simmer,,,,,,,simmer_sauce,,35,
SAUCE_003,bechamel,Béchamel sauce,,raw,,,,,,,,,,SAUCE_001
SAUCE_004,bechamel,Béchamel sauce,sub-simmer,raw,,,,,,,,,1,SAUCE_001
SAUCE_004,cream,Added Cream,,sub-simmer,,,,,,,,,,
SAUCE_004,finish,Finish,finish,raw,,,,,,,,,,
SAUCE_005,bechamel,Béchamel and purée,,sub-simmer,,,,,,,,,1,
SAUCE_006,roux,Roux,pan grilled,sub-simmer,,,,,,,pan_grilled_batter,,3,
SAUCE_006,stock,Chicken stock,,raw,,,,,,,,,,STOCK_001
STOCK_001,stock,Stock,,sub-simmer,,,,,,,chicken_stock,,240,
STOCK_002,caramelized_onion,Caramelized onions,pan grilled,sub-simmer,,,,,,,simmer_sauce,,20,
STOCK_002,stock,Stock,,sub-simmer,,,,,,,chicken_stock,,240,
STOCK_003,stock,Stock,,sub-simmer,,,,,,,chicken_stock,,160,
STOCK_004,shanks,Beef shanks,pan grilled,sub-simmer,,,,,,,chicken_stock,,8,
STOCK_004,tomato_paste_section,Tomato paste,pan grilled,sub-simmer,,,,,,,chicken_stock,,2,
STOCK_004,remaining,Remaining ingredients,,sub-simmer,,,,,,,chicken_stock,,420,
STOCK_005,beef,Beef,simmer,sub-simmer,,,,,,,bone_broth,,25,
STOCK_005,remaining,Remaining ingredients,,sub-simmer,,,,,,,bone_broth,,1080,
STOCK_006,onion,Onion and aromatics,pan grilled,sub-simmer,,,,,,,fish_stock,,4,
STOCK_006,cod,Cod and wine,simmer,sub-simmer,,,,,,,fish_stock,,2,
STOCK_006,remaining,Remaining ingredients,,sub-simmer,,,,,,,fish_stock,,25,
STOCK_007,stock,Stock,,sub-simmer,,,,,,,vegetable_stock,,55,
SAUCE_007,butter,Butter clarified,sub-simmer,sub-simmer,,,,,,,,,8,
SAUCE_007,reduction,Tarragon reduction,boiled,sub-simmer,,,,,,,simmer_sauce,,6,
SAUCE_007,emulsion,Egg yolk emulsion,,sub-simmer,,,,,,,,,,
SAUCE_007,finish,Finish,finish,raw,,,,,,,,,,
SAUCE_008,garlic,Garlic,pan grilled,sub-simmer,,,,,,,,,1,
SAUCE_008,cream,Cream,simmer,sub-simmer,,,,,,,simmer_sauce,,3,
SAUCE_008,cheese,Cheese,,sub-simmer,,,,,,,,,,
SAUCE_009,sauce,Mayo,,raw,,,,,,,,,,
SAUCE_010,sauce,Mustard,,raw,,,,,,,,,,
SAUCE_011,sauce,Ketchup,,simmer,,,,,,,simmer_sauce,,50,
SAUCE_012,sauce,Sauce,,simmer,,,,,,,simmer_sauce,,50,
SAUCE_013,mayonnaise,Mayonnaise,,raw,,,,,,,,,,SAUCE_009
SAUCE_013,chili_sauce,Chili Sauce,,raw,,,,,,,,,,SAUCE_012
SAUCE_013,seasoning,To finish,,raw,,,,,,,,,,
ENTR_001,steak,Chicken Fried Steak,fried,fried,,,,,,,fried_chicken,,7,
ENTR_001,roux,Roux,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,2,
ENTR_001,gravy,Cream Gravy,simmer,simmer,,,,,,,simmer_sauce,,5,
SIDE_001,potatoes,Gold potatoes,simmer,simmer,,,,,,,simmer_sauce,,25,
SIDE_001,finish,Milk & butter,finish,raw,,,,,,,,,,
SIDE_002,garlic,Roasted garlic,braise,simmer,,,,,,,simmer_sauce,,40,
SIDE_002,potatoes,Gold potatoes,,simmer,,,,,,,simmer_sauce,,25,
SIDE_002,finish,Mash,finish,raw,,,,,,,,,,
SIDE_003,potatoes,Gold potatoes,,simmer,,,,,,,simmer_sauce,,25,
SIDE_003,finish,Mash,finish,raw,,,,,,,,,,
SIDE_004,potatoes,Gold potatoes,,simmer,,,,,,,simmer_sauce,,25,
SIDE_004,finish,Mash,finish,raw,,,,,,,,,,
SIDE_005,potatoes,Potatoes,,simmer,,,,,,,simmer_sauce,,25,
SIDE_005,dressing,Dressing,finish,raw,,,,,,,,,,
SIDE_006,potatoes,Gold potatoes,simmer,simmer,,,,,,,simmer_sauce,,20,
SIDE_006,bacon,Bacon,pan grilled,pan grilled,,,,,,,,,8,
SIDE_006,onion,Onion,pan grilled,pan grilled,,,,,,,,,5,
SIDE_006,dressing,Dressing,simmer,simmer,,,,,,,simmer_sauce,,3,
SIDE_007,gratin,Gratin,sub-simmer,baked,,,,,,,dairy_custard,325:65,5,
SIDE_008,gratin,Gratin,braise,baked,,,,,,,dairy_custard,350:27,45,
SIDE_009,gratin,Pommes Anna,simmer,baked,,,,,,,simmer_sauce,425:42,5,
SIDE_010,potatoes,Gold potatoes,simmer,baked,,,,,,,simmer_sauce,,22,
SIDE_010,bacon,Bacon,pan grilled,baked,,,,,,,,,5,
SIDE_010,onion_garlic,Onion & garlic,pan grilled,baked,,,,,,,,,5,
SIDE_010,white_wine,White wine,pan grilled,baked,,,,,,,,,2,
SIDE_010,brie_cream,Brie & cream,,baked,,,,,,,dairy_custard,375:27,,
SIDE_011,potatoes,Potatoes,simmer,boiled,,,,,,,simmer_sauce,,22,
SIDE_011,dough,Dough,,boiled,,,,,,,,,3,
SIDE_012,batter,Batter,,baked,,,,,,,cake_batter,400:22,,
SIDE_013,batter,Batter,,baked,,,,,,,cake_batter,400:22,,
SIDE_014,slaw,Slaw,,raw,,,,,,,,,,
SIDE_015,potatoes,Potatoes,,baked,,,,,,,simmer_sauce,425:55,,
SIDE_016,baked_potatoes,Russet potatoes,baked,baked,,,,,,,simmer_sauce,400:55,,
SIDE_016,assembly,Assembly,,baked,,,,,,,dairy_custard,400:18,,
SIDE_017,potatoes,Potatoes,simmer,baked,,,,,,,simmer_sauce,,20,
SIDE_017,smash,Smash,,baked,,,,,,,simmer_sauce,450:22,,
SAUCE_014,blend,Spice blend,,raw,,,,,,,,,,
SAUCE_015,roux,Roux,pan grilled,sub-simmer,,,,,,,pan_grilled_batter,,2,
SAUCE_015,sauce,Sauce,,sub-simmer,,,,,,,simmer_sauce,,3,
SAUCE_015,cheese,Cheese,finish,raw,,,,,,,,,,
SAUCE_016,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_016,mustard,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
SAUCE_017,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_017,mustard,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
SAUCE_018,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_018,mustard,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
SAUCE_019,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_019,mustard,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
SAUCE_020,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_021,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_022,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_023,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_024,dressing,Dressing,,raw,,,,,,,,,,
SAUCE_024,mustard,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
SALAD_001,salad,Caesar Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_001,dressing,Caesar Dressing,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_024
SALAD_002,chicken,Chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_002,salad,Caesar Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_002,dressing,Caesar Dressing,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_024
SALAD_003,chicken,Chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_003,bacon,Bacon,pan grilled,pan grilled,,,1.0,1.0,1.0,,fried_meat,,8,
SALAD_003,salad,Cobb Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_004,salad,Chef Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_005,salad,Greek Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_005,dressing,Italian Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_017
SALAD_006,beef,Beef,pan grilled,pan grilled,,,1.0,1.0,1.0,,fried_ground_beef,,7,
SALAD_006,salad,Taco Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_007,asparagus,Asparagus,boiled,boiled,,1.0,1.0,1.0,1.0,,,,4,
SALAD_007,salad,Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_008,salad,Burrata Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_009,salad,Caprese Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_010,salad,Chickpea Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_011,chicken,Chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_011,pasta,Pasta,boiled,boiled,,1.0,1.0,1.0,1.0,,,,10,
SALAD_011,salad,Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_012,chicken,Chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_012,pasta,Pasta,boiled,boiled,,1.0,1.0,1.0,1.0,,,,10,
SALAD_012,salad,Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_013,gnocchi,Potato Gnocchi,boiled,raw,1.0,1.0,1.0,1.0,1.0,,,,3,SIDE_011
SALAD_013,dressing,Italian Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_017
SALAD_013,salad,Antipasto Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_014,chicken,Grilled chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_014,dressing,Basic Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_016
SALAD_014,salad,Garden salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_015,orzo,Orzo,boiled,boiled,,1.0,1.0,1.0,1.0,,,,9,
SALAD_015,salad,Mediterranean salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_016,pasta,Pasta,,boiled,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_016,dressing,Italian Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_017
SALAD_016,salad,Mediterranean salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_017,salad,Ramen Noodle Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_018,shrimp,Shrimp,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,5,
SALAD_018,dressing,Caesar Dressing,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_024
SALAD_018,salad,Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_019,chicken,Chicken,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,13,
SALAD_019,salad,Southwestern Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_020,shrimp,Shrimp,pan grilled,pan grilled,,1.0,1.0,1.0,1.0,,pan_grilled_chicken,,5,
SALAD_020,salad,Shrimp and Avocado Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_021,pasta,Pasta,boiled,boiled,,1.0,1.0,1.0,1.0,,,,9,
SALAD_021,salad,Tuna Macaroni Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_022,dressing,Blue Cheese Dressing,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_021
SALAD_022,salad,Wedge Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_023,potatoes,Potatoes,boiled,boiled,,1.0,1.0,1.0,1.0,,,,17,
SALAD_023,dressing,Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_016
SALAD_023,salad,Nicoise Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_024,dressing,Lemon Vinaigrette,,raw,1.0,1.0,1.0,1.0,1.0,,,,,SAUCE_019
SALAD_024,salad,Spinach Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_025,salad,Three Bean Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
SALAD_026,salad,Waldorf Salad,,raw,1.0,1.0,1.0,1.0,1.0,,,,,
ENTR_003,sauce,Sauce,,simmer,,,,,,,simmer_sauce,,2,
ENTR_003,beef,Beef,pan grilled,pan grilled,,,,,,,pan_grilled_chicken,,3,
ENTR_003,broccoli_garlic,Broccoli and Garlic,pan grilled,pan grilled,,,,,,,,,3,
ENTR_004,pasta,Pasta,boiled,boiled,,,,,,,,,8,
ENTR_004,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,22,
ENTR_004,vegetables,Vegetables,pan grilled,pan grilled,,,,,,,,,14,
ENTR_004,garlic,Garlic,pan grilled,pan grilled,,,,,,,,,6,
ENTR_004,tomato_paste,Tomato Paste,pan grilled,pan grilled,,,,,,,,,5,
ENTR_004,white_wine,White wine,pan grilled,pan grilled,,,,,,,,,3,
ENTR_004,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_004,sauce,Sauce,,sub-simmer,,,,,,,simmer_sauce,,50,
ENTR_005,bacon,Bacon,pan grilled,pan grilled,,1.0,,,,,fried_meat,,8,
ENTR_005,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,6,
ENTR_005,vegetables,Vegetables,pan grilled,pan grilled,,,,,,,,,6,
ENTR_005,garlic,Garlic,pan grilled,pan grilled,,,,,,,,,2,
ENTR_005,flour_tomato_paste,Flour and Tomato Paste,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,1,
ENTR_005,wine_broth,Wine and Broth,,braise,,,,,,,simmer_sauce,,150,
ENTR_005,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_005,mushrooms,Mushrooms,finish,raw,,,,,,,,,,
ENTR_006,chiles,Chiles,sub-simmer,sub-simmer,,,,,,,,,20,
ENTR_006,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_006,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,6,
ENTR_006,birria,Birria,,braise,,,,,,,simmer_sauce,,160,
ENTR_007,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,6,
ENTR_007,onions,Onions,pan grilled,pan grilled,,,,,,,,,26,
ENTR_007,garlic,Garlic,pan grilled,pan grilled,,,,,,,,,1,
ENTR_007,flour,Flour,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,1,
ENTR_007,carbonnade,Carbonnade,,braise,,,,,,,simmer_sauce,,135,
ENTR_007,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_008,beef,Beef,pan grilled,pan grilled,,,,,,,pan_grilled_chicken,,9,
ENTR_008,marinade,Marinade,,raw,,,,,,,,,,
ENTR_009,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,6,
ENTR_009,vegetables,Vegetables,pan grilled,pan grilled,,,,,,,,,7,
ENTR_009,garlic,Garlic,pan grilled,pan grilled,,,,,,,,,3,
ENTR_009,flour,Flour,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,2,
ENTR_009,assembly,Assembly,,braise,,,,,,,simmer_sauce,,100,
ENTR_009,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_010,brisket,Brisket,sub-simmer,sub-simmer,,,,,,,sub_simmered_beef,,165,
ENTR_010,potatoes_carrots,Potatoes and Carrots,sub-simmer,sub-simmer,,,,,,,simmered_vegetable,,28,
ENTR_010,vegetables,Vegetables,sub-simmer,sub-simmer,,,,,,,simmered_vegetable,,18,
ENTR_010,brine,Brine,,raw,,,,,,,,,,
ENTR_011,potatoes,Potatoes,boiled,baked,,,,,,,simmer_sauce,400:28,17,
ENTR_011,brown_beef,Brown Beef,pan grilled,baked,,,,,,,fried_meat,400:28,14,
ENTR_011,vegetables,Vegetables,pan grilled,baked,,,,,,,simmered_vegetable,400:28,8,
ENTR_011,garlic,Garlic,pan grilled,baked,,,,,,,simmered_vegetable,400:28,2,
ENTR_011,flour_tomato_paste,Flour and Tomato Paste,pan grilled,baked,,,,,,,pan_grilled_batter,400:28,1,
ENTR_011,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_011,add_spices,Add Spices,simmer,baked,,,,,,,simmer_sauce,400:28,9,
ENTR_012,beef,Brown Beef,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,7,
ENTR_012,marinade,Marinade,,raw,,,,,,,,,,
ENTR_013,beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,4,
ENTR_013,onions,Onions,pan grilled,pan grilled,,,,,,,simmered_vegetable,,7,
ENTR_013,garlic,Garlic,pan grilled,pan grilled,,,,,,,simmered_vegetable,,3,
ENTR_013,curry_tomato_paste,Curry and Tomato Paste,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,2,
ENTR_013,carrots,Carrots,pan grilled,pan grilled,,,,,,,simmered_vegetable,,1,
ENTR_013,assembly,Assembly,,braise,,,,,,,simmer_sauce,,75,
ENTR_013,cilantro,Cilantro,finish,raw,,,,,,,,,,
ENTR_014,beef,Brown Beef,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,7,
ENTR_014,onions_peppers,Onions and Peppers,pan grilled,pan grilled,,,,,,,,,8,
ENTR_014,garlic,Garlic,pan grilled,pan grilled,,,,,,,,,3,
ENTR_014,cumin_oregano,Cumin and Oregano,pan grilled,pan grilled,,,,,,,,,2,
ENTR_014,tomato_paste,Tomato Paste,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,1,
ENTR_014,tomatoes_wine,"Tomatoes, Broth, and Wine",,braise,,,,,,,simmer_sauce,,100,
ENTR_014,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_014,finish,"Cilantro, Olives, and Capers",finish,raw,,,,,,,,,,
ENTR_015,sear_steaks,Sear Steaks,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,6,
ENTR_015,shallots_garlic,Shallots and Garlic,pan grilled,pan grilled,,,,,,,simmered_vegetable,,10,
ENTR_015,mushrooms,Mushrooms,pan grilled,pan grilled,,,,,,,simmered_vegetable,,9,
ENTR_015,brandy,Brandy,pan grilled,pan grilled,,,,,,,simmer_sauce,,6,
ENTR_015,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_015,broth_worcestershire,Broth and Worcestershire,simmer,simmer,,,,,,,simmer_sauce,,5,
ENTR_015,dijon_ref,Dijon-Style Mustard,,raw,,,,,,,,,,SAUCE_010
ENTR_015,cream_mustard,Cream and Mustard,simmer,simmer,,,,,,,simmer_sauce,,3,
ENTR_015,parsley,Parsley,finish,raw,,,,,,,,,,
ENTR_016,brown_beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,12,
ENTR_016,onion,Onion,pan grilled,pan grilled,,,,,,,,,5,
ENTR_016,spices,Spices,pan grilled,pan grilled,,,,,,,,,1,
ENTR_016,sauce_ref,Red Enchilada Sauce,,raw,,,,,,,,,,SAUCE_025
ENTR_016,assembly,Assembly,,baked covered,,,,,,,casserole_baked,375:20,,
ENTR_017,brown_beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,6,
ENTR_017,onions,Onions,pan grilled,pan grilled,,,,,,,,,13,
ENTR_017,garlic_bell_pepper,Garlic and Bell Pepper,pan grilled,pan grilled,,,,,,,,,4,
ENTR_017,spices,Spices,pan grilled,pan grilled,,,,,,,,,2,
ENTR_017,tomato_paste_section,Tomato Paste,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,1,
ENTR_017,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_017,finish,Sour Cream,finish,raw,,,,,,,,,,
ENTR_018,sear_steak,Sear Steak,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,7,
ENTR_018,onions,Onions,pan grilled,pan grilled,,,,,,,,,8,
ENTR_018,bell_peppers_spices,Bell Peppers and Spices,pan grilled,pan grilled,,,,,,,,,4,
ENTR_018,tortillas,Tortillas,,raw,,,,,,,,,,
ENTR_018,marinade,Marinade,,raw,,,,,,,,,,
ENTR_019,grill_patties,Grill Patties,pan grilled,pan grilled,,,,,,,fried_meat,,9,
ENTR_019,onions,Onions,pan grilled,pan grilled,,,,,,,,,13,
ENTR_019,mushrooms_garlic,Mushrooms and Garlic,pan grilled,pan grilled,,,,,,,,,5,
ENTR_019,flour,Flour,pan grilled,pan grilled,,,,,,,pan_grilled_batter,,1,
ENTR_019,stock_ref,Beef Stock,,raw,,,,,,,,,,STOCK_004
ENTR_019,gravy,Gravy,simmer,simmer,,,,,,,simmer_sauce,,4,
ENTR_020,steak,Grill Steaks,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,9,
ENTR_020,marinade,Marinade,,raw,,,,,,,,,,
ENTR_021,meatballs,Meatballs,pan grilled,pan grilled,,,,,,,fried_meat,,9,
ENTR_021,onion,Onion,pan grilled,pan grilled,,,,,,,,,9,
ENTR_021,garlic_pepper_flakes,Garlic & Pepper Flakes,pan grilled,pan grilled,,,,,,,,,1,
ENTR_021,assembled_sauce,Assembled Sauce,,sub-simmer,,,,,,,simmer_sauce,,22,
ENTR_021,basil,Basil,finish,raw,,,,,,,,,,
ENTR_022,pasta,Pasta,boiled,boiled,,,,,,,,,8,
ENTR_022,brown_beef,Brown Beef,pan grilled,pan grilled,,,,,,,fried_meat,,11,
ENTR_022,onion_garlic,Onion & Garlic,pan grilled,pan grilled,,,,,,,,,3,
ENTR_022,tomatoes_spices,Tomatoes & Spices,simmer,simmer,,,,,,,simmer_sauce,,17,
ENTR_022,cheese_filling,Cheese Filling,,baked covered,,,,,,,dairy_custard,375:45,,
ENTR_023,noodles,Noodles,boiled,boiled,,,,,,,,,3,
ENTR_023,beef,Beef,pan grilled,pan grilled,,,,,,,pan_grilled_steak,,2,
